Regions,2019,2020
Одеська область,136.627467450651,135.617905510183
Закарпатська область,137.991863618752,135.776385725133
Полтавська область,137.711538461538,136.917017972043
Житомирська область,136.128338454266,135.488457987073
Чернівецька область,136.431906614786,136.813360530342
Тернопільська область,140.915060951632,138.362751677852
Хмельницька область,138.784498559832,137.309830159547
Черкаська область,140.253987360819,137.876630434783
Херсонська область,136.284450784593,135.265701881331
Луганська область,134.989935956084,134.383597883598
Сумська область,139.981217985202,138.116266666667
Чернігівська область,139.13200379867,138.203642878471
Волинська область,141.387206340221,139.455945945946
Рівненська область,140.463787920197,139.104448267388
Львівська область,143.242486572963,142.56029970235
Київська область,138.575654607236,137.53491249779
Кіровоградська область,134.4463840399,134.824466159971
Запорізька область,137.395802098951,136.074621419449
Харківська область,140.893369932432,139.622105898933
Івано-Франківська область,139.871954674221,138.7399730821
Дніпропетровська область,137.851325199832,137.796263569806
Донецька область,137.54257362356,136.32007416147
Вінницька область,135.443354148082,135.570703408267
Миколаївська область,135.218926134678,134.062291434928
м.Київ,147.326577791477,145.94120120541